username,cluster,total_stars,top_language
BYVoid,0,11467,C
ashishps1,1,88490,Jupyter Notebook
skydoves,3,64146,Java
JohnHammond,0,10039,C
YunaiV,0,60303,C
tqchen,1,3338,HTML
htr-tech,1,24937,JavaScript
bojone,0,20946,C
shanselman,0,4280,PowerShell
bedimcode,2,11594,SCSS
laruence,0,10689,C
ibireme,0,41833,C
easychen,0,76877,C
521xueweihan,0,194218,C
LukeSmithxyz,0,19378,C
robpike,0,4260,Go
BurntSushi,0,104748,C
agentzh,0,914,C
mnielsen,1,19162,TeX
Elfocrash,3,9281,Java
samyk,0,16975,C
KalleHallden,1,4417,Java
bvaughn,3,73447,HTML
topjohnwu,0,68701,C
craftzdog,3,14863,Java
mqyqingfeng,2,33314,JavaScript
iampawan,3,37173,Java
jakearchibald,2,20914,HTML
mrdbourke,1,38844,Jupyter Notebook
jhaddix,0,8692,C
zenorocha,2,53982,Shell
QianMo,2,35608,GLSL
XiaomingX,3,6841,Rust
ChristianLempa,0,16485,PowerShell
shradha-khapra,1,1921,Handlebars
elder-plinius,1,37080,Java
lilianweng,1,5123,SCSS
muan,2,12140,Go
necolas,2,87910,Shell
fouber,2,27660,Java
campusx-official,1,7226,Jupyter Notebook
offensive-security,0,18011,C
jart,0,34994,C
LaurieWired,0,15671,C
amueller,1,22690,TeX
ashishpatel26,1,73183,Jupyter Notebook
PatrickAlphaC,1,3553,Rust
shiftkey,2,8160,PowerShell
noob-hackers,1,20138,PHP
rsc,0,8644,Go
chriscoyier,2,1618,JavaScript
mcollina,2,15960,HTML
munificent,0,23152,C
frontend-joe,2,4302,Svelte
chenshuo,0,21491,C
Snailclimb,1,165061,Java
AllenDowney,1,25251,C
nishant-Tiwari24,1,14473,Rust
ErickWendel,3,10657,PLpgSQL
engindemirog,1,5794,Java
miloyip,0,31683,C
shahradelahi,3,4418,Svelte
nzakas,2,6919,JavaScript
Pierian-Data,1,31064,Scala
f,3,166198,C
meliksahyorulmazlar,1,499,Jupyter Notebook
aneagoie,2,7952,SCSS
jvns,0,12306,C
NeuralNine,1,3948,Jupyter Notebook
romannurik,2,18433,SCSS
bchiang7,2,11114,SCSS
alex,0,43619,Rust
sofish,2,12966,JavaScript
simplesteph,0,2979,Java
sophiebits,1,879,JavaScript
mgechev,3,39207,Shell
benbalter,0,6805,Shell
wycats,2,3821,Rust
romainguy,3,10200,JavaScript
Sentdex,1,11270,Jupyter Notebook
0vm,1,701,JavaScript
jaredpalmer,3,78211,Shell
wizardforcel,1,8238,C
swisskyrepo,1,86294,Jupyter Notebook
typicode,3,159087,JavaScript
folke,3,81792,Shell
andrewrk,0,11887,C
pjreddie,0,27795,C
abhishekkrthakur,1,16129,Dockerfile
ai,2,52465,Shell
joshlong,0,2163,Java
CelaDaniel,3,683,JavaScript
s0md3v,0,102696,Shell
ryanflorence,2,2151,JavaScript
arthurspk,3,25592,JavaScript
bubbliiiing,1,25953,Python
CoderMJLee,0,26337,C
yihui,2,10665,SCSS
hmaverickadams,1,11393,JavaScript
dennybritz,1,41033,Svelte
colah,1,1665,TeX
alyssaxuu,3,51630,JavaScript
Jack-Cherish,1,49678,Ren'Py
toddmotto,2,18422,HTML
PKUFlyingPig,0,83132,C
ardalis,2,36536,CSS
ustbhuangyi,2,30652,JavaScript
djvelimir,0,511,C
wasabeef,3,102874,Rust
tenderlove,0,5419,C
hwchase17,1,9079,Jupyter Notebook
ElzeroWebSchool,2,3176,CSS
Connor9994,0,524,C
jordwalke,0,3401,C
jcjohnson,1,35432,Jupyter Notebook
haileys,0,3787,C
sokra,2,4063,JavaScript
lucasmontano,0,2102,Java
mohammadhasanii,3,317,Handlebars
macrozheng,3,132122,Dart
sebmarkbage,2,2445,JavaScript
ishandutta2007,0,346,C
K1rsN7,3,876,Mustache
twostraws,3,39944,GLSL
dataprofessor,1,3730,Jupyter Notebook
algorithmzuo,0,7250,Java
iamapuneet,3,305,Java
wintercn,2,2194,JavaScript
otaviossousa,1,198,C
carpedm20,1,40101,Jupyter Notebook
felangel,3,18194,TypeScript
dtolnay,0,61803,Rust
vjanz,1,366,Markdown
i5ting,3,12616,Rust
DIMFLIX,1,615,Jupyter Notebook
OfficialCodeVoyage,2,282,CSS
evilsocket,0,41506,C
UberGuidoZ,0,23506,C
vinta,1,294037,HCL
dyc87112,2,25950,Java
youngyangyang04,0,76360,C
AntonioErdeljac,2,1218,CSS
OneLoneCoder,0,9580,C
rwieruch,3,6115,JavaScript
sudheerj,3,83314,Java
FiloSottile,0,93755,Shell
LondheShubham153,1,4388,Groovy
nunomaduro,3,19889,PHP
jaywcjlove,3,176458,Rust
igrigorik,0,26407,C
H-K-R,1,885,MATLAB
teteusAraujo,2,1487,Java
jamiebuilds,3,89344,Rust
MisterBooo,1,80963,Java
GoesToEleven,2,16043,PLpgSQL
fatih,0,39904,Vim script
luizomf,2,5016,Shell
audreyt,0,5969,C
CleverProgrammer,1,1992,Jupyter Notebook
lepture,2,13587,Vim script
ityouknow,3,47939,Java
ahmetb,0,43912,HCL
Colt,2,4104,TypeScript
jamesmontemagno,2,3110,Jupyter Notebook
fat,2,6618,JavaScript
brendangregg,0,34361,C
eddiejaoude,2,1170,Svelte
machadop1407,2,3930,Python
kamilmysliwiec,3,634,TypeScript
Fndroid,0,566,PowerShell
nahamsec,0,18505,Shell
justmarkham,1,14403,Handlebars
ChenYilong,3,30161,Objective-C
clementmihailescu,2,3618,Go
junegunn,0,147368,VimL
wcandillon,2,11084,HTML
chokcoco,2,38752,HTML
koush,0,26153,C
amitshekhariitbhu,3,65342,Java
seehiong,3,1268,Jupyter Notebook
liaohuqiu,0,19543,Java
fengmk2,2,15,HTML
Fernanda-Kipper,3,3294,C
skyzh,0,12403,C
daneden,2,5196,Processing
drkostas,1,1432,Jupyter Notebook
cusspvz,3,752,Go
yonggekkk,1,37607,JavaScript
cyanharlow,2,11032,CSS
mschwarzmueller,2,6422,Python
stefanprodan,0,25711,Makefile
tw93,3,99464,Rust
rustdesk,0,120662,PowerShell
BilgisayarKavramlari,1,973,Jupyter Notebook
jhcloos,0,1135,C
tiann,0,29929,C
davidbombal,1,6002,JavaScript
springframeworkguru,0,1007,Java
rovo89,0,17674,C
nihui,0,15513,C
jfullstackdev,3,569,Java
mercyblitz,2,11580,Java
safak,2,20172,HTML
cami-la,3,8720,Java
Rafaelmdcarneiro,0,201,Rust
ethanflower1903,0,233,Java
dai-shi,3,16898,JavaScript
AsmrProg-YT,2,5438,JavaScript
Jarred-Sumner,2,1000,Zig
drakeet,1,6651,Java
DeborahK,2,6061,JavaScript
bigtreetech,0,10851,C
ljharb,3,10835,JavaScript
rengwuxian,0,11776,Java
CarGuo,3,53786,Java
shuding,2,33860,JavaScript
fazt,3,2024,Handlebars
LaravelDaily,2,9852,PHP
sharkdp,3,163678,Rust
Yangqing,0,596,C
remy,2,34714,jq
